"quantity","target_ESS","rmse","bias","bias_sq","var","rmse_b"
"BCI_L",100,0.0247863206508767,0.00421431634706476,1.77604622731373e-05,0.000597796822780499,0.0248104269421878
"BCI_L",1000,0.00740891379269443,0.000642230447134101,4.12459947226067e-07,5.45887210825167e-05,0.00741627811167723
"BCI_L",200,0.0173915150620623,0.00237242829328305,5.62841600676991e-06,0.000297431242632434,0.0174086087508222
"BCI_L",625,0.00891595019609492,1.05812418444984e-05,1.11962678971763e-10,7.96533626618897e-05,0.00892487952997511
"BCI_U",100,1.1337453081644,-0.0643101772171182,0.00413579889369715,1.28381024538185,1.13487710536231
"BCI_U",1000,0.364434835160559,0.00534002773801223,2.851589624274e-05,0.133050333849961,0.364799739235384
"BCI_U",200,0.889119908303467,0.0184236272280964,0.000339430040239856,0.79177833797728,0.890009981976337
"BCI_U",625,0.509861007328387,0.0227938014772455,0.00051955738578408,0.259958606621376,0.510370614364856
"HPD_L",100,0.0233225820406544,0.0175099564480341,0.000306598574812052,0.000237819898027057,0.023332776792296
"HPD_L",1000,0.0106347675137951,0.0068968397206014,4.75663981316651e-05,6.56632083575224e-05,0.0106409401130345
"HPD_L",200,0.0168938902481887,0.0115195948949532,0.000132701066543831,0.000153008478130277,0.0169029448521288
"HPD_L",625,0.0114506630015548,0.00698507089365088,4.87912153893287e-05,8.24914506872221e-05,0.0114578648131557
"HPD_U",100,0.716185549248223,-0.0349134853612272,0.00121895146006862,0.512728245983879,0.716901107157708
"HPD_U",1000,0.23343670876179,0.00466110439483369,2.1725894179538e-05,0.0545801313660895,0.23367040304726
"HPD_U",200,0.560898546569629,0.013506115109422,0.000182415145348958,0.315054874146868,0.56145996232342
"HPD_U",625,0.311608979800411,0.013992558836172,0.000195791702783735,0.097098561712895,0.311920428019196
"sample_mean",100,0.18831472576515,-0.00786432866313191,6.18476653217582e-05,0.0354715313373566,0.188502994678276
"sample_mean",1000,0.0594645214620377,0.00139232734783445,1.93857544352773e-06,0.00354117308343248,0.0595240426960066
"sample_mean",200,0.13850748908051,0.00254963225948246,6.50062465859363e-06,0.0192162564195682,0.138646157697308
"sample_mean",625,0.0805627901281002,0.000873272404776415,7.62604692943983e-07,0.00650260576005148,0.0806434644887261
"sample_median",100,0.108045082945732,0.0054340638303414,2.95290497122246e-05,0.0116675459910199,0.108153016789788
"sample_median",1000,0.0335544120098595,0.00101110196176291,1.0223271770808e-06,0.00112713049914862,0.0335879863392509
"sample_median",200,0.0749368315395855,0.0041946640234034,1.75952062692348e-05,0.0056091518185601,0.0750116459280113
"sample_median",625,0.0425713447427964,-0.000694652746236368,4.82542437853728e-07,0.00181546778634485,0.042613968704906
