"quantity","target_ESS","rae"
"BCI_L",100,0.137153291267334
"BCI_U",100,0.127034981165814
"HPD_L",100,0.752917006388045
"HPD_U",100,0.108526060766553
"sample_mean",100,0.0891574620882039
"sample_median",100,0.0850525189244134
"BCI_L",200,0.0982435898090919
"BCI_U",200,0.0973821461300735
"HPD_L",200,0.537437883756769
"HPD_U",200,0.0852570404703661
"sample_mean",200,0.0661097590539582
"sample_median",200,0.0601608636309699
"BCI_L",625,0.0506558771007759
"BCI_U",625,0.057097443686859
"HPD_L",625,0.364173048466951
"HPD_U",625,0.0484742492451231
"sample_mean",625,0.0391962024602657
"sample_median",625,0.0342893174015655
"BCI_L",1000,0.0426089589286756
"BCI_U",1000,0.0412784565871715
"HPD_L",1000,0.344381990095932
"HPD_U",1000,0.0358225450553899
"sample_mean",1000,0.0290581068356316
"sample_median",1000,0.0273864084924216
