"quantity","M","rae"
"BCI_L",100,0.220590345475467
"BCI_U",100,0.20182829736249
"HPD_L",100,2.62010783017585
"HPD_U",100,0.194916584609472
"sample_mean",100,0.108000552236081
"sample_median",100,0.101931081137589
"BCI_L",200,0.157119046544815
"BCI_U",200,0.144018402565907
"HPD_L",200,2.01322604643746
"HPD_U",200,0.120827234181273
"sample_mean",200,0.0710952844053886
"sample_median",200,0.0703686167441071
"BCI_L",625,0.0846345494064931
"BCI_U",625,0.0787869937510599
"HPD_L",625,1.06464142624747
"HPD_U",625,0.0637414991073204
"sample_mean",625,0.0385064102010309
"sample_median",625,0.0384973932241362
"BCI_L",1000,0.0684665377016669
"BCI_U",1000,0.0651342259790472
"HPD_L",1000,0.857210069095128
"HPD_U",1000,0.0523306371847992
"sample_mean",1000,0.0331699395541428
"sample_median",1000,0.030797694134647
