"quantity","M","rae"
"BCI_L",100,0.0528784046533027
"BCI_U",100,0.0491833779282769
"HPD_L",100,0.0869619894711887
"HPD_U",100,0.045988903514173
"sample_mean",100,0.0204865386226849
"sample_median",100,0.0252667188028511
"BCI_L",200,0.0411774235911258
"BCI_U",200,0.0357868742053675
"HPD_L",200,0.0716813193774352
"HPD_U",200,0.0342235221398355
"sample_mean",200,0.0152545924739142
"sample_median",200,0.0185293295603144
"BCI_L",625,0.0217244120494645
"BCI_U",625,0.0203023711624123
"HPD_L",625,0.0435913999698495
"HPD_U",625,0.0229881892207487
"sample_mean",625,0.0082363355106113
"sample_median",625,0.0102092616550865
"BCI_L",1000,0.0170875323147827
"BCI_U",1000,0.0164406590924058
"HPD_L",1000,0.0372043093015198
"HPD_U",1000,0.0158434766096574
"sample_mean",1000,0.00625646511531703
"sample_median",1000,0.0080974334129104
